DateTime,Location,Transaction,Product,Amount
Oct-31-2016 04:37 PM,99-COMMERCIAL-BROADWAY/UBC (B-LINE),Transfer at Bus Stop 52095,Stored Value,0
Oct-31-2016 04:26 PM,99-COMMERCIAL-BROADWAY/UBC (B-LINE),Transfer at Bus Stop 58501,Stored Value,0
Oct-31-2016 04:24 PM,Broadway-City Hall Stn,Tap out at Broadway-City Hall Stn,Stored Value,2.1
Oct-31-2016 04:15 PM,Waterfront Stn,Transfer at Waterfront Stn,Stored Value,-2.1
Oct-31-2016 03:41 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Oct-31-2016 03:35 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Oct-31-2016 12:14 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-31-2016 12:04 AM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Oct-27-2016 08:20 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-27-2016 08:14 PM,Waterfront Stn,Transfer at Waterfront Stn,Stored Value,0
Oct-27-2016 07:14 PM,Stadium Stn,Tap out at Stadium Stn,Stored Value,0
Oct-27-2016 07:10 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Oct-26-2016 08:59 PM,Stadium Stn,Tap out at Stadium Stn,Stored Value,0
Oct-26-2016 08:56 PM,Granville Stn,Transfer at Granville Stn,Stored Value,0
Oct-26-2016 08:53 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Oct-26-2016 08:48 PM,Yaletown-Roundhouse Stn,Tap in at Yaletown-Roundhouse Stn,Stored Value,-2.1
Oct-26-2016 02:34 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,2.1
Oct-26-2016 02:29 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-4.2
Oct-24-2016 02:37 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Oct-24-2016 02:32 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Oct-23-2016 10:24 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-23-2016 10:18 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Oct-23-2016 05:08 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Oct-23-2016 04:59 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Oct-23-2016 12:07 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-22-2016 11:56 PM,Commercial-Broadway Stn,Tap in at Commercial-Broadway Stn,Stored Value,-2.1
Oct-20-2016 11:57 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-20-2016 11:48 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Oct-20-2016 04:53 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Oct-20-2016 04:50 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Oct-19-2016 09:34 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Oct-19-2016 09:27 PM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Oct-19-2016 06:33 PM,Olympic Village Stn,Tap out at Olympic Village Stn,Stored Value,2.1
Oct-19-2016 06:26 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-4.2
Oct-19-2016 02:58 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Oct-19-2016 02:50 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Oct-16-2016 04:48 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Oct-16-2016 04:43 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Oct-14-2016 11:02 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-14-2016 10:56 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Oct-14-2016 04:09 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Oct-14-2016 04:05 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Oct-11-2016 10:46 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Oct-11-2016 10:39 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Oct-11-2016 07:56 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
